text
Looking for some education
Made my way into the night
All that bullshit conversation
"Baby, can't you read the signs? I won't bore you with the details, baby"
I don't even wanna waste your time
Let's just say that maybe
You could help me ease my mind
I ain't Mr. Right But if you're looking for fast love
If that's love in your eyes
It's more than enough
Had some bad love
"So fast love is all that I've got on my mind Ooh, ooh"
"Ooh, ooh Looking for some affirmation"
Made my way into the sun
My friends got their ladies
And they're all having babies
"I just wanna have some fun I won't bore you with the details, baby"
I don't even wanna waste your time
Let's just say that maybe
You could help me ease my mind
I ain't Mr. Right But if you're looking for fast love
If that's love in your eyes
It's more than enough
I've had some bad love
"So fast love is all that I've got on my mind Ooh, ooh"
"Baby, baby"
"Ooh, ooh"
"Baby, baby"
"Ooh, ooh"
"Baby, baby"
Ooh In the absence of security
I made my way into the night
Stupid cupid keeps on calling me
And I see nothing in his eyes
I miss my baby
"Oh I, I miss my baby"
I miss my baby
"I miss, I miss, I miss, I miss my baby"
"Ooh I, I miss my baby I don't want you to be no slave"
I don't want you to work all day
But I want you to be true
And I just want to make love to you
"Love to you, ooh baby"
"Love to you, yeah All I want to do is wash your clothes"
I don't want to keep you indoors
There is nothing you can't do
But keep me making love to me
"Love to me, ooh baby"
"Love to you, yeah And I can tell by the way you walk that walk"
And I can hear by the way you talk that talk
And I can know by the way you treat your girl
That I can give you all the loving in the whole wide world All I want you to do is make your bread
Just to make sure you're well fed
I don't want you sad and blue
And I just want to make love to you
"Love to you, ooh yeah"
"Love to you, yeah And I can tell by the way you walk that walk"
And I can hear by the way you talk that talk
And I can know by the way you treat your girl
That I can give you all the loving in the whole wide world All I want you to do baby is make your bread
Just to make sure you're well fed
I don't want you sad and blue
And I just want to make love to you
"Love to you, ooh yeah"
"Love to you, yeah"
Oh I just want to make love to you Happy New Year! I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
"Guess she gave you things I didn't give to you Old friend, why are you so shy?"
"Ain't like you to hold back or hide from the light I hate to turn up out of the blue, uninvited"
"But I couldn't stay away, I couldn't fight it"
I had hoped you'd see my face and that you'd be reminded
"That for me, it isn't over Never mind, I'll find someone like you"
I wish nothing but the best for you two
"Don't forget me, I beg, I remember you said"
"Sometimes it lasts in love, but sometimes it hurts instead"
"Sometimes it lasts in love, but sometimes it hurts instead You know how the time flies"
Only yesterday was the time of our lives
We were born and raised in a summer haze
"Bound by the surprise of our glory days I hate to turn up out of the blue, uninvited"
"But I couldn't stay away, I couldn't fight it"
I had hoped you'd see my face and that you'd be reminded
"That for me, it isn't over Never mind, I'll find someone like you"
I wish nothing but the best for you two
"Don't forget me, I beg, I remember you said"
"Sometimes it lasts in love, but sometimes it hurts instead, yeah Nothing compares, no worries or cares"
"Regrets and mistakes, they're memories made"
"Who would have known how bittersweet this would taste? Never mind, I'll find someone like you"
I wish nothing but the best for you
"Don't forget me, I beg, I remember you said"
"Sometimes it lasts in love, but sometimes it hurts instead Never mind, I'll find someone like you"
I wish nothing but the best for you two
"Don't forget me, I beg, I remember you said"
"Sometimes it lasts in love, but sometimes it hurts instead"
"Sometimes it lasts in love, but sometimes it hurts instead There's a fire starting in my heart"
"Reaching a fever pitch, it's bringing me out the dark"
Finally I can see you crystal clear
[Clean version:] Go 'head and sell me out and I'll lay your ship bare
[Explicit version:] Go 'head and sell me out and I'll lay your shit bare
See how I leave with every piece of you
Don't underestimate the things that I will do There's a fire starting in my heart
Reaching a fever pitch
And it's bringing me out the dark The scars of your love remind me of us
They keep me thinking that we almost had it all
"The scars of your love, they leave me breathless"
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
"(Tears are gonna fall, rolling in the deep)"
You had my heart inside of your hand
(You're gonna wish you never had met me)
"And you played it, to the beat"
"(Tears are gonna fall, rolling in the deep) Baby, I have no story to be told"
But I've heard one on you
And I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there
As mine sure won't be shared (You're gonna wish you never had met me)
The scars of your love remind me of us
"(Tears are gonna fall, rolling in the deep)"
They keep me thinking that we almost had it all
(You're gonna wish you never had met me)
"The scars of your love, they leave me breathless"
"(Tears are gonna fall, rolling in the deep)"
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
"(Tears are gonna fall, rolling in the deep)"
You had my heart inside of your hand
(You're gonna wish you never had met me)
"And you played it, to the beat"
"(Tears are gonna fall, rolling in the deep)"
We could have had it all
Rolling in the deep
You had my heart inside of your hand
"But you played it, with a beating Throw your soul through every open door (woah)"
Count your blessings to find what you look for (woah)
Turn my sorrow into treasured gold (woah)
You'll pay me back in kind and reap just what you sow (woah)
(You're gonna wish you never had met me)
We could have had it all
"(Tears are gonna fall, rolling in the deep)"
We could have had it all
(You're gonna wish you never had met me)
"It all, it all, it all"
"(Tears are gonna fall, rolling in the deep) We could have had it all"
(You're gonna wish you never had met me)
Rolling in the deep
"(Tears are gonna fall, rolling in the deep)"
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
"(Tears are gonna fall, rolling in the deep) We could have had it all"
(You're gonna wish you never had met me)
Rolling in the deep
"(Tears are gonna fall, rolling in the deep)"
You had my heart inside of your hand
(You're gonna wish you never had met me) But you played it
You played it
You played it
"You played it to the beat. Hello, it's me"
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya
"But I ain't done much healing Hello, can you hear me?"
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet There's such a difference between us
And a million miles Hello from the other side
I must've called a thousand times
To tell you I'm sorry
For everything that I've done
But when I call you never
Seem to be home Hello from the outside
At least I can say that I've tried
To tell you I'm sorry
For breaking your heart
"But it don't matter, it clearly"
"Doesn't tear you apart anymore Hello, how are you?"
"It's so typical of me to talk about myself, I'm sorry"
I hope that you're well
Did you ever make it out of that town
Where nothing ever happened? It's no secret
That the both of us
Are running out of time So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry
For everything that I've done
But when I call you never
Seem to be home Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry
For breaking your heart
"But it don't matter, it clearly"
"Doesn't tear you apart anymore Oh, anymore"
"Oh, anymore"
"Oh, anymore"
Anymore Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry
For everything that I've done
But when I call you never
Seem to be home Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry
For breaking your heart
"But it don't matter, it clearly"
Doesn't tear you apart anymore I will leave my heart at the door
I won't say a word
They've all been said before you know
So why don't we just play pretend
Like we're not scared of what's coming next
"Or scared of having nothing left Look, don't get me wrong"
I know there is no tomorrow
All I ask is If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do what lovers do
It matters how this ends
'Cause what if I never love again? I don't need your honesty
It's already in your eyes
"And I'm sure my eyes, they speak for me"
No one knows me like you do
And since you're the only one that matters
"Tell me who do I run to? Look, don't get me wrong"
I know there is no tomorrow
All I ask is If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do what lovers do
It matters how this ends
'Cause what if I never love again? Let this be our lesson in love
Let this be the way we remember us
I don't wanna be cruel or vicious
And I ain't asking for forgiveness
All I ask is If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do what lovers do
It matters how this ends
"'Cause what if I never love again? I let it fall, my heart,"
And as it fell you rose to claim it
It was dark and I was over
"Until you kissed my lips and you saved me My hands, they're strong"
But my knees were far too weak
To stand in your arms
"Without falling to your feet But there's a side to you that I never knew, never knew"
"All the things you'd say, they were never true, never true"
"And the games you'd play, you would always win, always win But I set fire to the rain"
